T26,Water supply and sanitation services,,,,,
840,United States of America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",89.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",89.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",89.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",93.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",61.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",94.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",62.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",94.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",64.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
858,Uruguay,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",63.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",31.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",51.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",31.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",51.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2012,"Safely managed drinking water sources, urban (Proportion of population with access)",86.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2012,"Safely managed drinking water sources, rural (Proportion of population with access)",31.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2012,"Safely managed drinking water sources, total (Proportion of population with access)",51.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
860,Uzbekistan,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",86.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
